[System: 192.168.1.54] INFO | 07-18-2025 15:34:30.435 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-18-2025 15:34:30.451 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 07-18-2025 15:34:30.451 | isValidUser:: True
[System: 192.168.1.54] INFO | 07-18-2025 15:34:30.451 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.77] INFO | 07-18-2025 15:34:33.841 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:34:33.841 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-18-2025 15:34:33.841 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-18-2025 15:34:33.981 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:34:50.777 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:34:50.777 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-18-2025 15:34:50.777 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-18-2025 15:34:50.824 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-18-2025 15:34:56.997 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-18-2025 15:34:56.997 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-18-2025 15:34:56.997 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-18-2025 15:34:56.997 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 07-18-2025 15:34:56.997 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.54] INFO | 07-18-2025 15:34:57.043 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 07-18-2025 15:34:57.043 | isValidUser:: True
[System: 192.168.1.54] INFO | 07-18-2025 15:34:57.043 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.54] INFO | 07-18-2025 15:34:57.075 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 07-18-2025 15:34:57.075 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-18-2025 15:34:57.075 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 07-18-2025 15:34:57.075 | isValidUser:: True
[System: 192.168.1.54] INFO | 07-18-2025 15:34:57.075 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.79] INFO | 07-18-2025 15:34:57.575 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07-18-2025 15:34:57.575 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07-18-2025 15:34:57.590 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07-18-2025 15:34:57.684 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.73] INFO | 07-18-2025 15:35:11.395 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 07-18-2025 15:35:11.395 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 07-18-2025 15:35:11.395 | Common:: DecodeBase64 START
[System: 192.168.1.73] ERROR | 07-18-2025 15:35:11.426 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:35:33.776 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:35:33.776 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-18-2025 15:35:33.776 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-18-2025 15:35:33.885 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:35:50.779 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:35:50.779 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-18-2025 15:35:50.779 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-18-2025 15:35:50.810 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07-18-2025 15:35:57.590 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07-18-2025 15:35:57.590 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07-18-2025 15:35:57.590 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07-18-2025 15:35:57.699 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.287 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.287 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.287 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.287 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.287 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.365 | Administration:: Entering LDAPChecking
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.365 | isValidUser:: True
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.365 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.412 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.412 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.412 | Administration:: Entering LDAPChecking
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.412 | isValidUser:: True
[System: 192.168.1.77] INFO | 07-18-2025 15:36:09.412 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.672 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.672 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.672 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.672 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.672 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.735 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.797 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.797 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.797 | Administration:: Entering LDAPChecking
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.797 | isValidUser:: True
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.797 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:16.829 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.829 | Administration:: Entering InitLoginSession
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.844 | Administration:: Entering AllowSession  1
[System: 192.168.1.77] INFO | 07-18-2025 15:36:16.844 | Administration:: Entering AllowSession  end
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:16.860 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:16.875 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:17.641 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.77] INFO | 07-18-2025 15:36:17.641 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:17.672 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:17.828 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:17.828 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:18.063 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:18.094 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:18.125 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.125 | Administration:: Entering GetUserDetails
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.156 | Administration:: Exiting GetUserDetails
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:18.172 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:18.172 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.250 | Administration:: Entering GetUserDetails
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.297 | Administration:: Exiting GetUserDetails
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:18.297 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.391 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.391 | ReportLayout:: GetDataSet START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.453 | ReportLayout:: GetDataSet END
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:18.453 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.484 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.484 | ReportLayout:: GetDataSet START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.500 | ReportLayout:: GetDataSet END
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:18.500 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.500 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.500 | ReportLayout:: GetDataSet START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.516 | ReportLayout:: GetDataSet END
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:18.531 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.547 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.547 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:18.547 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:18.781 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:18.938 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:18.953 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:21.421 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:21.421 | GetCostCenterSummary:: GetCostCenterSummary
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:22.266 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.73] INFO | 07-18-2025 15:36:27.396 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 07-18-2025 15:36:27.396 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 07-18-2025 15:36:27.396 | Common:: DecodeBase64 START
[System: 192.168.1.73] ERROR | 07-18-2025 15:36:27.443 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:27.490 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:28.614 | Contracts::Entering GetCostCenterNodeID
[System: 192.168.1.77] INFO | 07-18-2025 15:36:28.630 | Contracts::Exiting GetCostCenterNodeID
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:28.630 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:28.630 | GetScreenInfo:: GetScreenInfo
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:28.692 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:28.739 | Contracts::Entering GetNextContractNo
[System: 192.168.1.77] INFO | 07-18-2025 15:36:28.755 | Contracts::Exiting GetNextContractNo
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:28.755 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
