[System: 192.168.1.98] INFO | 06-12-2025 11:35:40.131 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:35:40.131 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:40.412 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:39:38.477 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:39:38.477 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:39:38.477 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:39:38.493 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:39:38.587 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:40:02.646 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:40:02.646 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:40:02.646 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:40:02.756 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:40:21.140 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:40:21.171 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:40:24.499 | setAuditPrint:: setAuditPrint
[System: 192.168.1.98] ERROR | 06-12-2025 11:40:24.515 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:40:24.546 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
